run_name,v_frag,scenario,alpha,M_emb0,r_gap,M_gap,n_gaps,amp_val,M_final,M_prev,T_final_Myr,M_iso_E,R_variation,frac_h2o_percent,Is_Valid,Discard_Reason,Cat_Masa,Cat_Agua
run_r20.0_m0.1_a0.0001,10,general,0.0001,0.1,20.0,0.1,0,0.0,3.9554729419867884,2.106822312152162,0.17073526474706888,3.9554729419867884,0.46736525744152113,0.0,True,,Isolation Mass,0% Agua
run_r20.0_m0.3_a0.0001,10,general,0.0001,0.1,20.0,0.3,0,0.0,3.9554729419867884,3.4513061339650055,0.19179102616724886,3.9554729419867884,0.12746056297595243,0.0,True,,Isolation Mass,0% Agua
run_r20.0_m0.5_a0.0001,10,general,0.0001,0.1,20.0,0.5,0,0.0,3.9554729419867884,3.223898294144359,0.19179102616724886,3.9554729419867884,0.18495250974336538,0.0,True,,Isolation Mass,0% Agua
run_r20.0_m1.0_a0.0001,10,general,0.0001,0.1,20.0,1.0,0,0.0,3.9554729419867884,2.8689122713230364,0.19179102616724886,3.9554729419867884,0.2746980415742612,0.0,True,,Isolation Mass,0% Agua
run_r20.0_m3.0_a0.0001,10,general,0.0001,0.1,20.0,3.0,0,0.0,3.9554729419867884,3.3324742369339426,0.21544346900318867,3.9554729419867884,0.15750296214639778,0.0,True,,Isolation Mass,0% Agua
run_r20.0_m5.0_a0.0001,10,general,0.0001,0.1,20.0,5.0,0,0.0,3.9554729419867884,3.5611129526211474,0.24201282647943834,3.9554729419867884,0.09969983239666876,0.0,True,,Isolation Mass,0% Agua
run_r5.0_m0.01_a0.0001,10,general,0.0001,0.1,5.0,0.01,0,0.0,1.5797301758379168,1.5797177733420176,10.0,3.9554729419867884,7.851021705399164e-06,0.06444929538271302,True,,> 0.1 M_E (No iso),Súper-Tierra Seca
run_r5.0_m0.1_a0.0001,10,general,0.0001,0.1,5.0,0.1,0,0.0,0.7137376301778748,0.7137362316734446,10.0,3.9554729419867884,1.9594096922038387e-06,0.003318180109475735,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r5.0_m0.3_a0.0001,10,general,0.0001,0.1,5.0,0.3,0,0.0,0.5950727569627215,0.5950726397178387,10.0,3.9554729419867884,1.9702613072194114e-07,0.0005454823141282845,True,,> 0.1 M_E (No iso),Mundos Áridos
run_r5.0_m0.5_a0.0001,10,general,0.0001,0.1,5.0,0.5,0,0.0,0.5415726649390721,0.5415705150134595,10.0,3.9554729419867884,3.969782361116355e-06,0.003009804204405993,True,,> 0.1 M_E (No iso),Mundos Áridos
